imdb_title,imdb_rank_toptv,imdb_series_type,imdb_ongoing,imdb_year_start,imdb_year_end,trakt_rating_imdb,trakt_vote_count_imdb,trakt_full_runtime_min,trakt_avg_ep_runtime_min,trakt_networks,trakt_country_of_origin,trakt_genres,trakt_studios,trakt_creators,trakt_num_of_episodes,trakt_num_of_seasons,trakt_series_regulars,trakt_guest_stars,wiki_created_by,wiki_written_by,wiki_executive_producers,wiki_producers,wiki_cinematography,wiki_editors
Endeavour,190,TV Series,No,2012,2023,8.6,"36,000","3,154",90,['ITV'],United Kingdom,"['Drama', 'Mystery', 'Crime']","['ITV Studios', 'Mammoth Screen', 'Masterpiece Theatre']",Russell Lewis,35,9,"['Shaun Evans', 'Roger Allam', 'James Bradshaw', 'Sean Rigby', 'Anton Lesser', ""Caroline O'Neill"", 'Abigail Thaw', 'Dakota Blue Richards', 'Jack Laskey', 'Carol Royle', 'Lewis Peek', 'Sara Vickers', 'Richard Riddell', 'Simon Harrison']","['Sara Vickers', 'Abigail Thaw', 'Shvorne Marks', ""Caroline O'Neill"", 'Jack Bannon', 'Stephanie Leonidas', 'Ryan Gage', 'Sam Ferriday', 'Simon Kunz', 'Phil Daniels', 'Holli Dempsey', 'Simon Harrison', 'Jack Laskey', 'David Jonsson', 'David Reed']",['Russell Lewis'],N.A.,"['Michele Buck', 'Damien Timmer', 'Rebecca Eaton']",['Dan McCulloch'],"['Gavin Struthers', 'Stephan Perhrsson', 'Zac Nicholson']",N.A.
Dragon Ball,191,TV Series,No,1995,2003,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
The Venture Bros.,192,TV Series,No,2003,2018,8.6,"29,600","2,150",22,['Adult Swim'],United States,"['Animation', 'Comedy', 'Action', 'Adventure', 'Superhero', 'Fantasy', 'Science Fiction']","['Williams Street', 'Titmouse', 'World Leaders Entertainment', 'Astro Base GO!', 'Noodle Soup Productions']",Christopher McCulloch,81,7,"['Doc Hammer', 'Christopher McCulloch', 'Patrick Warburton', 'James Urbaniak', 'Michael Sinterniklaas']","['Steven Rattazzi', 'Paul Boocock', 'Dana Snyder', 'Lisa Hammer', 'Mia Barron', 'Charles Parnell', 'Brendon Small', 'Mark Gagliardi', 'Cristin Milioti', 'Hal Lublin', 'Kate McKinnon', 'Nina Hellman', 'James Adomian', 'Toby Huss', 'John Hodgman']","['Jackson Publick', 'Doc Hammer']",N.A.,"['Jackson Publick', 'Doc Hammer', 'Chris Prynoski', 'Shannon Prynoski', 'Keith Crofford', 'Mike Lazzo']",['Rachel Simon'],N.A.,N.A.
"Yes, Prime Minister",193,TV Series,No,1986,1987,8.6,"13,500",480,30,['BBC Two'],United Kingdom,"['Comedy', 'War']",['BBC'],Jonathan Lynn,16,2,"['Paul Eddington', 'Nigel Hawthorne', 'Derek Fowlds']","['Diana Hoddinott', 'John Nettleton', 'Deborah Norton', 'Peter Cellier', 'Donald Pickering', 'Frederick Treves', 'Antony Carrick', 'Peter Cartwright', 'Ludovic Kennedy', 'John Wells', 'Nicholas Courtney', 'Gwen Taylor', 'Denis Lill', 'Myfanwy Talog', 'Oscar Quitak']",N.A.,['Antony Jay Jonathan Lynn'],N.A.,['Stuart Allen Sydney Lotterby Peter Whitmore'],N.A.,N.A.
Samurai Champloo,194,TV Series,No,2004,2005,8.5,"60,500",624,24,['Fuji TV'],Japan,"['Action', 'Adventure', 'Comedy', 'Drama', 'Anime']",['Manglobe'],Shinichiro Watanabe,26,1,"['Ayako Kawasumi', 'Kazuya Nakai', 'Ginpei Sato', 'Akio Otsuka', 'Eiji Maruyama', 'Keiichi Nanba', 'Kiyoyuki Yanada', 'Takayuki Sugo', 'Otoya Kawano', 'Makio Inoue', 'Unsho Ishizuka', 'Isshin Chiba', 'Fumihiko Tachiki', 'Shunsuke Sakuya', 'Sakiko Tamagawa', 'Takehito Koyasu', 'Mayumi Yamaguchi', 'Ichiro Nagai', 'Toshihiko Seki', 'Sayuri', 'Norio Wakamoto']",[],N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
The Rehearsal,195,TV Series,Yes,2022,,8.5,"28,900",428,30,['HBO'],United States,"['Comedy', 'Documentary']",['Rise Management'],Nathan Fielder,12,2,['Nathan Fielder'],"['Joshua Benard', 'Thomas McNamara', 'Gigi Burgdorf', 'K. Todd Freeman', 'Tony Nation', 'Vilma Ortiz Donovan', 'Sophia California Rain']",['Nathan Fielder'],"['Nathan Fielder', 'Carrie Kemper', 'Eric Notarnicola', 'Adam Locke-Norton']","['Nathan Fielder', 'Christie Smith', 'Clark Reinking', 'Dan McManus', 'Dave Paige', 'Eric Notarnicola']",N.A.,N.A.,N.A.
Flight of the Conchords,196,TV Series,No,2007,2009,8.5,"67,800",592,26,['HBO'],United States,"['Comedy', 'Musical']",['Dakota Pictures'],Bret McKenzie,22,2,"['Bret McKenzie', 'Jemaine Clement', 'Kristen Schaal', 'Rhys Darby']","['Arj Barker', 'Frank Wood', 'Eugene Mirman', 'Rhys Darby', 'Kristen Schaal', 'David Costabile', 'Sutton Foster', 'Lenny Venito', 'Brian Sergent', 'Rachel Blanchard', 'Adrian Martinez', 'Aida Lembo', 'José Ramón Rosario', 'Kelly Taffe', 'Victor Williams']","['James Bobin', 'Jemaine Clement', 'Bret McKenzie']",N.A.,"['James Bobin', 'Stu Smiley', 'Troy Miller']",['Anna Dokoza'],N.A.,N.A.
The Last of Us,197,TV Series,Yes,2023,,8.5,"687,000",915,60,['HBO'],United States,['Drama'],"['PlayStation Productions', 'Sony Pictures Television', 'Naughty Dog', 'Word Games', 'The Mighty Mint', 'HBO']",Neil Druckmann,16,2,"['Bella Ramsey', 'Pedro Pascal', 'Gabriel Luna', 'Isabela Merced', 'Young Mazino']","['Rutina Wesley', 'Pedro Pascal', 'Kaitlyn Dever', 'Danny Ramirez', 'Robert John Burke', 'Samuel Hoeksema', 'Anna Torv', 'Lamar Johnson', 'Tati Gabrielle', 'Spencer Lord', 'Ariela Barer', 'Ezra Benedict Agbonkhese', ""Catherine O'Hara"", 'Gabriel Luna', 'Olivier Ross-Parent']","['Craig Mazin', 'Neil Druckmann']","['Craig Mazin', 'Neil Druckmann', 'Halley Gross']","['Craig Mazin', 'Neil Druckmann', 'Carolyn Strauss', 'Rose Lam', 'Evan Wells', 'Carter Swan', 'Asad Qizilbash', 'Jacqueline Lesko', ""Cecil O'Connor"", 'Halley Gross']","['Greg Spence', ""Cecil O'Connor"", 'Allen Marshall Palmer', 'Julie Herrin']","['Ksenia Sereda', 'Eben Bolter', 'Christine A. Maier', 'Nadim Carlsen', 'Catherine Goldschmidt']","['Timothy A. Good', 'Mark Hartzell', 'Emily Mendez', 'Cindy Mollo', 'Simon Smith']"
The IT Crowd,198,TV Series,No,2006,2013,8.5,"172,000",578,24,['Channel 4'],United Kingdom,['Comedy'],"['Talkback Thames', 'Channel 4 Television']",Graham Linehan,24,4,"[""Chris O'Dowd"", 'Richard Ayoade', 'Katherine Parkinson', 'Matt Berry']","['Matt Berry', 'Graham Linehan', 'Noel Fielding', 'Chris Morris', 'Peter Serafinowicz', 'Belinda Stewart-Wilson', 'Tom Binns', 'Lewis Macleod', 'Ben Moor', 'Lucy Montgomery', 'John Willie Hopkins', 'Nancy Lodder', 'Togo Igawa', 'Pete Deagle', 'Danny Wallace']",['Graham Linehan'],['Graham Linehan'],['Ash Atalla'],N.A.,N.A.,"['Paul Machliss', 'Richard Holiday', 'Graham Barker']"
The Queen's Gambit,199,TV Mini Series,No,2020,2020,8.5,"626,000",395,57,['Netflix'],United States,['Drama'],"['Flitcraft', 'Ltd.', 'Wonderful Films']",Allan Scott,7,1,"['Anya Taylor-Joy', 'Chloe Pirrie']","['Marcin Dorociński', 'Matthew Dennis Lewis', 'Russell Dennis Lewis', 'Dolores Carbonari', 'Janina Elkin', 'Harry Melling', 'Isla Johnston', 'Bill Camp', 'Moses Ingram', 'Thomas Brodie-Sangster', 'Sergio Di Zio', 'Annabeth Kelly', 'Patrick Kennedy', 'Christiane Seidel', 'Akemnji Ndifornyen']","['Scott Frank', 'Allan Scott']",['Scott Frank'],"['William Horberg', 'Allan Scott', 'Scott Frank']","['Marcus Loges', 'Mick Aniceto']",['Steven Meizler'],['Michelle Tesoro']
Coupling,200,TV Series,No,2000,2004,8.5,"48,900",840,30,['BBC Two'],United States,['Comedy'],"['Hartswood Films', 'BBC Studios']",Steven Moffat,28,4,"['Jack Davenport', 'Gina Bellman', 'Sarah Alexander', 'Kate Isitt', 'Ben Miles', 'Richard Coyle', 'Richard Mylan']","['Lou Gish', 'Mariella Frostrup', 'Lloyd Owen', 'Olivia Caffrey', 'Adam Astill', 'Emilia Fox', 'Elizabeth Marmur', 'Michael Price', 'Amanda Abbington', 'Emma Pierson', 'Sue Kelvin', 'Raji James', 'Alison King', 'Nigel Harman', 'Mathew Bose']",['Steven Moffat'],['Steven Moffat'],"['Beryl Vertue', 'Geoffrey Perkins', 'Sophie Clarke-Jervoise']",['Sue Vertue'],N.A.,N.A.
Rocket Boys,201,TV Series,Yes,2022,,8.9,"18,500",705,45,['Sony Liv'],India,['Drama'],"['Emmay Entertainment', 'Roy Kapur Films']",Nikkhil Advani,16,2,"['Jim Sarbh', 'Ishwak Singh', 'Regina Cassandra', 'Saba Azad', 'Rajit Kapoor', 'Arjun Radhakrishnan', 'Dibyendu Bhattacharya', 'Namit Das', 'K.C. Shankar', 'T.M. Karthik']",[],N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Mr. Robot,202,TV Series,No,2015,2019,8.5,"446,000","2,225",42,['USA Network'],United States,"['Drama', 'Crime']","['Anonymous Content', 'Universal Cable Productions', 'Esmail Corp']",Sam Esmail,45,4,"['Rami Malek', 'Christian Slater', 'Carly Chaikin', 'Portia Doubleday', 'Martin Wallström', 'Michael Cristofer', 'Grace Gummer', 'Stephanie Corneliussen', 'BD Wong', 'Bobby Cannavale']","['Vaishnavi Sharma', 'Sunita Mani', 'Gloria Reuben', 'Azhar Khan', 'BD Wong', 'Omar Metwally', 'Joey Bada$$', 'Michael Drayer', 'Michael Cristofer', 'Annika Pergament', 'Michel Gill', 'Jeremy Holm', 'Stephanie Corneliussen', 'Grace Gummer', 'Grant Chang']",['Sam Esmail'],N.A.,"['Sam Esmail', 'Steve Golin', 'Chad Hamilton', 'Joseph E. Iberti', 'Kyle Bradstreet']","['Igor Srubshchik', 'Christian Slater', 'Rami Malek']","['Tod Campbell', 'Tim Ives']",N.A.
Black Sun,203,TV Series,No,2017,2020,8.8,"12,600","1,230",60,"['RTS 1', 'Nova S']",Serbia,"['Crime', 'Drama', 'War']","['Cobra Film', 'Radio Television of Serbia', 'United Media']",Dragan Bjelogrlić,20,2,"['Andrija Kuzmanović', 'Marija Bergam', 'Dragan Bjelogrlić', 'Miloš Timotijević', ""Srđan 'Žika' Todorović"", 'Toni Mihajlovski', ""Slobodan 'Boda' Ninković"", 'Viktor Savić', ""Dragan Petrović 'Pele'"", 'Nenad Heraković', 'Petre Arsovski', 'Nenad Jezdić', 'Goran Bogdan', 'Marko Živić', 'Vojislav Brajović', 'Gordan Kičić', 'Jovana Stojiljković', 'Nikola Đuričko', 'Aleksandr Galibin', 'Žarko Laušević', 'Nebojša Dugalić', 'Bojan Navojec', 'Branimir Brstina']","['Marina Ćosić', 'Milica Gojković', 'Marina Vodeničar', 'Iva Kevra']",['Dragan Bjelogrlić'],N.A.,N.A.,['Cobra film  RTS  United Media'],N.A.,N.A.
I'm Alan Partridge,204,TV Series,No,1997,2002,8.6,"22,300",338,30,['BBC Two'],United Kingdom,['Comedy'],['Talkback Productions'],Armando Iannucci,12,2,"['Steve Coogan', 'Felicity Montagu', 'Simon Greenall', 'Phil Cornwell', 'Sally Phillips', 'Amelia Bullmore', 'James Lance', 'Barbara Durkin', 'David Schneider']","['Tim Dantay', 'Simon Ludders', 'Terence Booth', 'Danny Cunningham', 'Michael Wardle', 'Andrew Burt', 'Kevin Eldon', 'Chris Morris', 'Julia Deakin', 'Arthur Mathews', 'Philip Fox', 'Jo Enright', 'Phoebe Nicholls', 'Julia Davis', 'Peter Serafinowicz']",['Peter Baynham Steve Coogan Armando Iannucci'],['Peter Baynham Steve Coogan Armando Iannucci'],['Peter Fincham'],N.A.,N.A.,N.A.
Ezel,205,TV Series,No,2009,2011,8.7,"38,900","6,836",90,"['atv', 'Show TV']",Turkey,"['Drama', 'Action', 'Adventure', 'Crime']",['Ay Yapım'],Pınar Bulut,71,2,"['Kenan İmirzalioğlu', 'Cansu Dere', 'Yiğit Özşener', 'Bariş Falay', 'Sarp Akkaya', 'Tuncel Kurtiz', 'Güray Kip', 'Bade Işcil', 'Burçin Terzioğlu', 'Sedef Avci', 'Nurhan Özenen', 'Salih Kalyon', 'Bayazit Gülercan', 'Berrak Tüzünataç', 'İpek Bilgin', 'Haluk Bilginer', 'Kivanç Tatlituğ', 'Hakan Kurtaş', 'Cahit Gök', 'Ufuk Bayraktar', 'Kemal Uçar']","['Hüseyin Soysalan', 'Kemal Uçar', 'Taner Turan', 'Araz Alemfamian', 'Mesut Akusta', 'Begüm Tosun', 'Ferhat Domurcuk', 'Sevinç Erol', 'Burak Alkaş', 'Güliz Gençoğlu', 'Hikmet Körmükçü', 'Demir Parscan', 'Damla Ersan', 'Hülya Duyar', 'Cansu Firinci']",N.A.,['Kerem Deren Pinar Bulut'],N.A.,['Kerem Çatay'],N.A.,N.A.
Making a Murderer,206,TV Series,No,2015,2018,8.5,"105,000","1,251",60,['Netflix'],United States,"['Documentary', 'Crime']",['Synthesis Films'],Moira Demos,20,2,"['Steven Avery', 'Kathleen Zellner']",[],N.A.,['Laura Ricciardi Moira Demos'],['Laura Ricciardi Moira Demos Lisa Nishimura Adam Del Deo'],N.A.,['Moira Demos Iris Ng'],['Moira Demos Mary Manhardt']
Detectorists,207,TV Series,No,2014,2022,8.6,"23,200",521,30,['BBC Four'],United Kingdom,['Comedy'],"['Channel X', 'Lola Entertainment']",Mackenzie Crook,18,3,"['Mackenzie Crook', 'Toby Jones', 'Rachael Stirling', 'Gerard Horan', 'Divian Ladwa', 'Laura Checkley', 'Pearce Quigley', 'Sophie Thompson', 'Orion Ben', 'Aimee-Ffion Edwards', 'Lucy Benjamin', 'Alexa Davies', 'Daniel Donskoy']","['Diana Rigg', 'Adam Riches', 'David Sterne', 'Paul Casar', 'Simon Farnaby', 'Timothy Allsop', 'Colin Michael Carmichael', 'Ian Sanders', 'Johnny Flynn', 'Robert Ryan']",['Mackenzie Crook'],['Mackenzie Crook'],['Alan Marke Jim Reid Lisa Thomas Kristian Smith Jonno Richards Alex Moody Shane Murphy Emma Lawson'],['Adam Tandy Gary Matsell Gill Isles Tina Pawlik Sarah Huxley'],['Jamie Cairney Mattias Nyberg John Sorapure Nick Brown'],['Colin Fair']
Samurai Jack,208,TV Series,No,2001,2017,8.5,"63,500","1,390",24,"['Cartoon Network', 'Adult Swim']",United States,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Cartoon Network Studios', 'Williams Street', 'Hanna-Barbera Productions']",Genndy Tartakovsky,60,5,"['Phil LaMarr', 'Mako', 'Greg Baldwin', 'Tara Strong', 'Grey DeLisle']","['Kevin Michael Richardson', 'Jeff Bennett', 'Tom Kenny', 'Jennifer Hale', 'Grey DeLisle', 'John DiMaggio', 'Clyde Kusatsu', 'Rob Paulsen', 'Richard McGonagle', 'Danny Mann', 'Sab Shimono', 'Daran Norris', 'Mike Bell', 'Kath Soucie', 'Peter Renaday']",['Genndy Tartakovsky'],N.A.,"['Genndy Tartakovsky', 'Mike Lazzo', 'Linda Simensky', 'Brian A. Miller', 'Jennifer Pelphrey', 'Rob Sorcher', 'Keith Crofford']",['Genndy Tartakovsky'],N.A.,N.A.
Solo Leveling,209,TV Series,Yes,2024,,8.6,"83,700",600,24,N.A.,Japan,"['Anime', 'Action', 'Adventure', 'Fantasy']","['Aniplex', 'A-1 Pictures', 'Netmarble', 'D&C Media', 'Kakao piccoma', 'Crunchyroll', 'Crunchyroll']",N.A.,25,1,"['Taito Ban', 'Genta Nakamura', 'Haruna Mikawa', 'Reina Ueda', 'Daisuke Hirakawa', 'Hiroki Touchi', 'Banjo Ginga', 'Makoto Furukawa']","['Akio Otsuka', 'Akira Ishida', 'Yasuhiro Mamiya', 'Junichi Suwabe', 'Miyu Tomita', 'Chikahiro Kobayashi', 'Junya Enoki', 'Takuma Terashima', 'Manta Yamamoto', 'Daichi Hayashi', 'Rina Honnizumi', 'Eiji Hanawa', 'Ikuto Kanemasa', 'Kenta Miyake', 'Ryuji Sato']",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Happy Valley,210,TV Series,No,2014,2023,8.5,"69,200","1,022",59,['BBC One'],United Kingdom,"['Crime', 'Drama', 'Mystery']","['Red Production Company', 'Lookout Point', 'BBC Worldwide Productions']",Sally Wainwright,18,3,"['Sarah Lancashire', 'Siobhan Finneran', 'James Norton', 'Rhys Connah', 'Charlie Murphy', 'Shane Zaza', 'George Costigan', 'Ishia Bennison', 'Rick Warden', 'Vincent Franklin', 'Karl Davies', 'Joe Armstrong', 'Steve Pemberton', 'Jill Baker', 'Adam Long', 'Derek Riddell', 'Matthew Lewis', 'Kevin Doyle', 'Julie Hesmondhalgh', 'Shirley Henderson', 'Mollie Winnard', 'Mark Stanley', 'Amit Shah', 'Katherine Kelly', ""Caroline O'Neill"", 'Rachel Leskovac', 'Kelly Harrison', 'Steven Hartley', 'Mina Anwar', 'Alan McKenna', 'Amelia Young']","[""Con O'Neill"", 'Karl Davies', 'Sophie Rundle', 'Amelia Bullmore', 'Ramon Tikaram', 'Rick Warden', 'Gerard Fletcher', 'Hebe Beardsall', 'Robert Emms', 'Susan Lynch', 'Moey Hassan', 'Pauline Jefferson', 'Ben Wright', 'Phil Featherstone', 'James Burrows']",['Sally Wainwright'],['Sally Wainwright'],"['Nicola Shindler', 'Sally Wainwright', 'Matthew Read', 'Will Johnston', 'Faith Penhale', 'Rayan Salvi', 'Sarah Lancashire']","['Karen Lewis', 'Juliet Charlesworth', 'Jessica Taylor']",N.A.,N.A.
Takopi's Original Sin,211,TV Mini Series,No,2025,2025,9.3,"7,900",153,29,"['Netflix', 'Bandai Channel', 'Amazon', 'Niconico', 'AbemaTV', 'Hulu Japan', 'Disney+', 'FOD', 'd Anime Store', 'Anime Houdai', 'U-NEXT', 'TELASA', 'DMM TV', 'Lemino', 'J:COM STREAM', 'milplus', 'WOWOW On Demand', 'Anime Times', 'niconico Channel', 'Rakuten TV', 'VIDEX']",Japan,"['Anime', 'Drama', 'Fantasy', 'Science Fiction']","['ENISHIYA', 'TBS', 'Movic', 'The Klock Worx Co.', ""TOY'S FACTORY"", 'Good Smile Company']",N.A.,6,1,"['Kurumi Mamiya', 'Reina Ueda', 'Konomi Kohara', 'Anna Nagase']","['Ayumi Tsunematsu', 'Hiyori Kouno', 'Natsumi Kawaida', 'Niina Nakabayashi', 'Natsumi Fujiwara', 'Mari Hino', 'Asaki Yuikawa', 'Mamiko Noto', 'Shinji Kawada', 'Ryota Osaka', 'Yumi Uchiyama', 'Haruka Sato', 'Kenta Sasa', 'Soshiro Hori', 'Reo Osanai']",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Regular Show,212,TV Series,No,2010,2017,8.6,"66,500","2,870",11,['Cartoon Network'],United States,"['Animation', 'Comedy']",['Cartoon Network Studios'],J.G. Quintel,245,8,"['J.G. Quintel', 'William Salyers', 'Mark Hamill', 'Sam Marin', 'Roger Craig Smith', 'Minty Lewis', 'Matthew Mercer', 'Vanessa Marshall']","['Roger Craig Smith', 'Janie Haddad Tompkins', 'Minty Lewis', 'Courtenay Taylor', 'Steve Blum', 'Fred Tatasciore', 'John Cygan', 'Linda Cardellini', 'Ali Hillis', 'Jeff Bennett', 'David Kaye', 'Robin Atkin Downes', 'David Ogden Stiers', 'Julian Holloway', 'Troy Baker']",['J. G. Quintel'],N.A.,"['J. G. Quintel', 'Curtis Lelash', 'Jennifer Pelphrey', 'Brian A. Miller', 'Rob Sorcher']","['Janet Dimon', 'Ryan Slater']",N.A.,N.A.
Long Way Round,213,TV Mini Series,No,2004,2010,8.6,"15,600",321,60,['Sky One'],United Kingdom,"['Documentary', 'Reality']","['Big Earth', 'Elixir Films']",Ewan McGregor,7,1,"['Ewan McGregor', 'Charley Boorman']",[],['Ewan McGregor Charley Boorman David Alexanian Russ Malkin'],N.A.,N.A.,N.A.,['Claudio von Planta Jimmy Simak'],N.A.
Impractical Jokers,214,TV Series,Yes,2011,,8.5,"49,700","6,376",30,['TBS'],United States,['Comedy'],['NorthSouth Productions'],Brian Quinn,273,12,"['Brian Quinn', 'James Murray', 'Sal Vulcano', 'Joe Gatto']","['Joe Gatto', 'Joey Fatone', 'Gary Busey', 'Carly Otte', 'Johnny Launonen', 'Tom Laughlin', 'Danica McKellar', 'Eric André', 'Ulambayaryn Byambajav', 'Casey Jost', 'Daniel Cast', ""Rosie O'Donnell"", 'Mark LoMonaco', 'Jamie Szantyr', 'Randy Couture']",N.A.,N.A.,"['Charlie DeBevoise', 'Mark Hickman', 'Brian Quinn', 'James Murray', 'Sal Vulcano', 'Joe Gatto', 'Pete McPartland', 'Simmy Kustanowitz']",N.A.,N.A.,N.A.
Spartacus,215,TV Series,No,2010,2013,8.5,"268,000","1,757",53,['Starz'],United States,['Drama'],"['Starz Productions', 'Starz Media']",Steven S. DeKnight,33,3,"['Manu Bennett', 'Viva Bianca', 'Lucy Lawless', 'Peter Mensah', 'Liam McIntyre', 'Dustin Clare', 'Cynthia Addai-Robinson', 'Jaime Murray', 'Ellen Hollman', 'Marisa Ramirez', 'Barry Duffield', 'Pana Hema-Taylor', 'Stephen Lovatt', 'Hanna Mangan Lawrence', 'Brett Tucker', 'Heath Jones', 'Andy Whitfield', 'John Hannah', 'Erin Cummings', 'Craig Parker', 'Luna Rioumina', 'Ditch Davey', 'Blessing Mokgohloa', 'Jenna Lind', 'Gwendoline Taylor', 'Simon Merrells', 'Katrina Law', 'Todd Lasance', 'Christian Antidormi', 'Anna Hutchison', 'Roy Snow', 'Jared Turner', 'John Wraight', 'Daniel Feuerriegel', 'Nick E. Tarabay', 'Luke Pegler']","['Peter Mensah', 'Viva Bianca', 'Nick E. Tarabay', 'Lesley-Ann Brandt', 'Jai Courtney', 'Siaosi Fonua', 'David Austin', 'Craig Walsh-Wrightson', 'Ande Cunningham', 'Antonio Te Maioha', 'Daniel Feuerriegel', 'Brooke Williams', 'Eka Darville', 'Raicho Vasilev', 'Janine Burchett']",['Steven S. DeKnight Sam Raimi'],N.A.,"['Steven S. DeKnight', 'Robert Tapert', 'Sam Raimi', 'Joshua Donen']","['Chloe Smith', 'Charles Knight', 'Aaron Lam']",['Aaron Morton'],"['Gary Hunt', 'Jonathan Woodford-Robinson']"
Spaced,216,TV Series,No,1999,2001,8.5,"59,500",356,24,['Channel 4'],United Kingdom,['Comedy'],N.A.,Jessica Hynes,14,2,"['Simon Pegg', 'Jessica Hynes', 'Nick Frost', 'Mark Heap', 'Julia Deakin']","['Katy Carmichael', 'Lucy Akhurst', 'Anna Wilson-Jones', 'James Lance', 'Clive Russell', 'Bill Bailey', 'Peter Serafinowicz', 'Sally Grace', 'Reece Shearsmith', 'Michael Smiley', 'Rowena Cooper', 'Gemma Padley', 'Jonathan Ryland', 'Kevin Eldon', 'Olivia Williams']","['Jessica Stevenson', 'Simon Pegg']","['Jessica Stevenson', 'Simon Pegg']","['Humphrey Barclay', 'Tony Orsten']","['Gareth Edwards', 'Nira Park']",N.A.,"['Chris Dickens', 'Paul Machliss']"
Yellowstone,217,TV Series,No,2018,2024,8.6,"283,000","2,712",42,['Paramount Network'],United States,"['Drama', 'Western']","['101 Studios', 'Bosque Ranch Productions', 'The Linson Company', 'Treehouse Films', 'MTV Studios']",John Linson,53,5,"['Luke Grimes', 'Kelly Reilly', 'Wes Bentley', 'Cole Hauser', 'Kelsey Asbille', 'Brecken Merrill', 'Forrie J. Smith', 'Denim Richards', 'Gil Birmingham', 'Kevin Costner', 'Jefferson White', 'Ryan Bingham', 'Ian Bohen', 'Finn Little', 'Wendy Moniz', 'Jennifer Landon', 'Kathryn Kelly', 'Mo Brings Plenty', 'Danny Huston']","['Jake Ream', 'Mo Brings Plenty', 'Ian Bohen', 'Ethan Lee', 'Jennifer Landon', 'Hassie Harrison', 'Forrie J. Smith', 'Denim Richards', 'Gabriel Gator Guilbeau', 'John Emmet Tracy', 'Eden Brolin', 'Wendy Moniz', 'Ryan Bingham', 'Hugh Dillon', 'James Jordan']","['Taylor Sheridan', 'John Linson']",['Taylor Sheridan'],"['John Linson', 'Art Linson', 'Taylor Sheridan', 'Kevin Costner', 'David C. Glasser', 'Christina Alexandra Voros', 'Michael Friedman']","['John Vohlers', 'Michael Polaire']",['Ben Richardson'],"['Chad Galster', 'Gary D. Roach', 'Evan Ahlgren']"
Derry Girls,218,TV Series,No,2018,2022,8.5,"68,600",484,23,['Channel 4'],United Kingdom,"['Comedy', 'Drama']",['Hat Trick Productions'],Lisa McGee,19,3,"['Saoirse-Monica Jackson', 'Louisa Harland', 'Nicola Coughlan', ""Jamie Lee O'Donnell"", 'Dylan Llewellyn', ""Tara Lynne O'Neill"", 'Tommy Tiernan', 'Kathy Kiera Clarke', 'Ian McElhinney', 'Siobhán McSweeney', ""Leah O'Rourke""]","['Beccy Henderson', 'Claire Rafferty', 'Donna Traynor', 'Phillipa Dunne', 'Amelia Crowley', 'Kevin McAleer', 'Paul Mallon', 'Ava Grace McAleese', 'Mya Rose McAleese', 'Robert Calvert', 'Jamie Beamish', 'Maria Laird', 'Julia Dearden', 'Art Campion', 'David Ireland']",['Lisa McGee'],['Lisa McGee'],N.A.,['Brian J. Falconer'],N.A.,N.A.
Twin Peaks,219,TV Series,No,2017,2017,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
The Bear,220,TV Series,Yes,2022,,8.5,"283,000","1,343",42,['Hulu'],United States,"['Drama', 'Comedy']",['FX Productions'],Christopher Storer,38,4,"['Jeremy Allen White', 'Ebon Moss-Bachrach', 'Ayo Edebiri', 'Lionel Boyce', 'Abby Elliott', 'Liza Colón-Zayas', 'Matty Matheson', 'Edwin Lee Gibson', 'Jack Callahan']","['Corey Hendrix', 'Edwin Lee Gibson', 'Jose M. Cervantes', 'Richard Esteras', 'Oliver Platt', 'Ricky Staffieri', 'Chris Witaske', 'Christopher J. Zucchero', 'Molly Gordon', 'Robert Townsend', 'Carmen Christopher', 'Sarah Ramos', 'Paulie James', 'Andrew Lopez', 'Adam Shapiro']",['Christopher Storer'],N.A.,"['Joanna Calo', 'Josh Senior', 'Christopher Storer', 'Hiro Murai', 'Nate Matteson', 'Matty Matheson']",['Tyson Bidner'],['Andrew Wehde'],N.A.
