title,rank,ongoing,year_end,year_start,num_of_episodes,parental_rating,user_rating,user_votes_count,series_type,link
Mr. Robot,203,No,2019,2015,45,TV-MA,8.5,444K,TV Series,/title/tt4158110/
I'm Alan Partridge,204,No,2002,1997,12,TV-MA,8.6,23K,TV Series,/title/tt0129690/
Ezel,205,No,2011,2009,71,TV-14,8.6,41K,TV Series,/title/tt1534360/
Making a Murderer,206,No,2018,2015,20,TV-14,8.5,106K,TV Series,/title/tt5189670/
Detectorists,207,No,2022,2014,20,TV-14,8.6,24K,TV Series,/title/tt4082744/
Samurai Jack,208,No,2017,2001,62,TV-MA,8.5,64K,TV Series,/title/tt0278238/
Happy Valley,209,No,2023,2014,18,TV-MA,8.5,70K,TV Series,/title/tt3428912/
The Bear,210,Yes,,2022,39,TV-MA,8.5,277K,TV Series,/title/tt14452776/
Regular Show,211,No,2017,2010,244,TV-PG,8.6,68K,TV Series,/title/tt1710308/
Impractical Jokers,212,Yes,,2011,310,TV-14,8.5,49K,TV Series,/title/tt2100976/
Yellowstone,213,No,2024,2018,53,TV-MA,8.6,280K,TV Series,/title/tt4236770/
Long Way Round,214,No,2010,2004,10,TV-PG,8.6,17K,TV Mini Series,/title/tt0403778/
Spaced,215,No,2001,1999,14,TV-14,8.5,60K,TV Series,/title/tt0187664/
Spartacus,216,No,2013,2010,33,TV-MA,8.5,268K,TV Series,/title/tt1442449/
Derry Girls,217,No,2022,2018,19,TV-MA,8.5,70K,TV Series,/title/tt7120662/
Twin Peaks,218,No,2017,2017,18,TV-MA,8.5,84K,TV Series,/title/tt4093826/
Whose Line Is It Anyway?,219,No,2007,1998,220,TV-PG,8.5,48K,TV Series,/title/tt0163507/
Sons of Anarchy,220,No,2014,2008,92,TV-MA,8.5,342K,TV Series,/title/tt1124373/
Mob Psycho 100,221,No,2022,2016,37,TV-14,8.5,57K,TV Series,/title/tt5897304/
Jujutsu Kaisen,222,Yes,,2020,48,TV-MA,8.5,158K,TV Series,/title/tt12343534/
Louie,223,No,2015,2010,61,TV-MA,8.5,84K,TV Series,/title/tt1492966/
The Eric Andre Show,224,Yes,,2012,68,TV-MA,8.5,23K,TV Series,/title/tt2244495/
Alchemy of Souls,225,No,2023,2022,30,TV-14,8.7,24K,TV Series,/title/tt20859920/
Through the Wormhole,226,No,2017,2010,62,TV-PG,8.6,19K,TV Series,/title/tt1513168/
The Office,227,No,2003,2001,14,TV-MA,8.5,129K,TV Series,/title/tt0290978/
Neon Genesis Evangelion,228,No,1996,1995,26,TV-MA,8.5,99K,TV Series,/title/tt0112159/
Trailer Park Boys,229,No,2026,2001,116,TV-MA,8.5,55K,TV Series,/title/tt0290988/
Spartacus: Gods of the Arena,230,No,2011,2011,6,TV-MA,8.5,151K,TV Mini Series,/title/tt1758429/
My Brilliant Friend,231,No,2024,2018,34,TV-MA,8.6,22K,TV Series,/title/tt7278862/
Schitt's Creek,232,No,2020,2015,80,TV-14,8.5,163K,TV Series,/title/tt3526078/
Brass Eye,233,No,2001,1997,7,TV-MA,8.6,12K,TV Series,/title/tt0118273/
Silicon Valley,234,No,2019,2014,53,TV-MA,8.5,175K,TV Series,/title/tt2575988/
Rurôni Kenshin: Meiji kenkaku romantan - Tsuioku-hen,235,No,1999,1999,4,TV-MA,8.6,17K,TV Mini Series,/title/tt0203082/
All Creatures Great & Small,236,Yes,,2020,35,TV-PG,8.6,20K,TV Series,/title/tt10590066/
Futurama,237,Yes,,1999,180,TV-14,8.5,272K,TV Series,/title/tt0149460/
Fullmetal Alchemist,238,No,2004,2003,51,TV-PG,8.5,83K,TV Series,/title/tt0421357/
The Expanse,239,No,2022,2015,62,TV-14,8.5,184K,TV Series,/title/tt3230854/
Skam,240,No,2017,2015,43,Not Rated,8.6,41K,TV Series,/title/tt5288312/
Shameless,241,No,2021,2011,134,TV-MA,8.5,314K,TV Series,/title/tt1586680/
North & South,242,No,2004,2004,4,TV-PG,8.5,37K,TV Mini Series,/title/tt0417349/
Hannibal,243,No,2015,2013,39,TV-MA,8.5,294K,TV Series,/title/tt2243973/
Formula 1: Drive to Survive,244,Yes,,2019,70,TV-MA,8.5,57K,TV Series,/title/tt8289930/
Doctor Who,245,No,2022,2005,175,TV-PG,8.5,259K,TV Series,/title/tt0436992/
Gintama,246,No,2021,2005,375,TV-14,8.7,19K,TV Series,/title/tt0988818/
Avrupa Yakasi,247,No,2009,2004,190,,8.6,23K,TV Series,/title/tt0421291/
Extraordinary Attorney Woo,248,No,2022,2022,16,TV-14,8.6,34K,TV Series,/title/tt20869502/
Foyle's War,249,No,2015,2002,28,TV-14,8.6,20K,TV Series,/title/tt0310455/
The Boondocks,250,No,2014,2005,56,TV-MA,8.5,39K,TV Series,/title/tt0373732/
